pathway_name,pathway_source,num_overlapping_genes,overlapping_genes,num_all_pathway_genes,P_genes,Q_genes,num_overlapping_metabolites,overlapping_metabolites,num_all_pathway_metabolites,P_metabolites,Q_metabolites,P_joint,Q_joint
Semaphorin interactions,Reactome,13,PLXNA4;DPYSL2;PAK1;ERBB2;PAK3;PLXNC1;SEMA4D;SEMA5A;LIMK1;DPYSL3;PLXND1;ARHGAP35;FARP2,64 (64),0.08,0.356,0,,6 (6),1,1,0.282,0.86
GnRH secretion - Homo sapiens (human),KEGG,13,GABBR2;KCNN1;KCNN2;CACNA1C;CACNA1D;CACNA1S;KCNN4;CACNA1I;SPP1;PLCB4;ARRB1;ARRB2;ITPR3,64 (64),0.08,0.356,0,,8 (9),1,1,0.282,0.86
HIF1A and PPARG regulation of glycolysis,Wikipathways,3,GPD1;GPAT3;LDHA,8 (8),0.0801,0.356,0,,8 (10),1,1,0.282,0.86
RUNX2 regulates genes involved in cell migration,Reactome,3,MMP13;ITGA5;ITGBL1,8 (8),0.0801,0.356,0,,2 (2),1,1,0.282,0.86
AMPK inhibits chREBP transcriptional activation activity,Reactome,3,ADIPOR2;PRKAA2;PRKAG2,8 (8),0.0801,0.356,0,,3 (3),1,1,0.282,0.86
Histidine catabolism,Reactome,3,HNMT;HAL;UROC1,8 (8),0.0801,0.356,0,,22 (22),1,1,0.282,0.86
Synthesis of epoxy (EET) and dihydroxyeicosatrienoic acids (DHET),Reactome,3,CYP1B1;EPHX2;CYP1A1,8 (8),0.0801,0.356,0,,14 (15),1,1,0.282,0.86
ketogenesis,HumanCyc,3,HMGCS2;ACAT1;BDH1,8 (8),0.0801,0.356,0,,12 (12),1,1,0.282,0.86
Organic cation transport,Reactome,3,SLC22A5;SLC22A18;SLC22A1,8 (8),0.0801,0.356,0,,23 (28),1,1,0.282,0.86
glycogen biosynthesis,HumanCyc,3,UGP2;GBE1;GYS2,8 (8),0.0801,0.356,0,,5 (7),1,1,0.282,0.86
Acyl chain remodeling of DAG and TAG,Reactome,3,DGAT2;PNPLA3;MGLL,8 (8),0.0801,0.356,0,,5 (10),1,1,0.282,0.86
sucrose degradation,HumanCyc,3,ALDOA;ALDOB;TKFC,8 (8),0.0801,0.356,0,,10 (12),1,1,0.282,0.86
Androgen biosynthesis,Reactome,3,HSD17B12;CYP17A1;SRD5A1,8 (8),0.0801,0.356,0,,16 (16),1,1,0.282,0.86
ethanol degradation II,HumanCyc,3,ALDH3A2;ACSS3;ACSS1,8 (8),0.0801,0.356,0,,12 (12),1,1,0.282,0.86
Intracellular Signalling Through Prostacyclin Receptor and Prostacyclin,SMPDB,3,MYL3;PTGIR;ADCY2,8 (8),0.0801,0.356,0,,9 (9),1,1,0.282,0.86
Glycerophospholipid metabolism,EHMN,22,GPD1;ADHFE1;MTTP;LIPA;ATP8B2;GK;CHPT1;PLPP1;DGAT2;SLC38A4;SLC22A5;LPCAT4;GPAM;LCAT;ALDH9A1;ALDH3A2;ALDOB;GPAT4;SLC1A5;SLC16A12;ALDH7A1;NUP35,136 (136),0.201,0.624,1,HMDB0010404,62 (95),0.398,1,0.282,0.86
Phosphodiesterases in neuronal function,Wikipathways,11,PDE9A;ADCY9;GUCY1A1;GUCY1B1;ADCY2;ADCY4;PDE3B;PDE4B;PDE4D;PDE10A;PDE3A,52 (52),0.0808,0.358,0,,11 (12),1,1,0.284,0.863
Signaling events mediated by PTP1B,PID,11,BLK;LAT;PDGFB;DOK1;PDGFRB;FGR;NOX4;PRLR;BCAR1;CAV1;LCK,52 (52),0.0808,0.358,0,,1 (1),1,1,0.284,0.863
Ebstein-Barr virus LMP1 signaling,Wikipathways,4,NFKBIA;CHUK;IKBKG;MAP3K3,23 (23),0.372,0.865,0,,0 (0),1,1,0.372,0.865
GPCRs_ Class B Secretin-like,Wikipathways,4,ADGRE5;PTH1R;ADGRL4;SCTR,23 (23),0.372,0.865,0,,0 (0),1,1,0.372,0.865
NRF2-ARE regulation,Wikipathways,4,NQO1;EPHB2;GCLM;MAF,23 (23),0.372,0.865,0,,0 (0),1,1,0.372,0.865
GDNF-RET signaling axis,Wikipathways,4,GREM1;GFRA1;SPRY1;FOXC2,23 (23),0.372,0.865,0,,0 (0),1,1,0.372,0.865
caspase cascade in apoptosis,BioCarta,4,LMNB1;GZMB;ARHGDIB;PRF1,23 (23),0.372,0.865,0,,0 (0),1,1,0.372,0.865
tnf/stress related signaling,BioCarta,4,BAG4;CHUK;IKBKG;MAP3K1,23 (23),0.372,0.865,0,,0 (0),1,1,0.372,0.865
Insulin resistance - Homo sapiens (human),KEGG,20,PTPRF;PPP1R3A;PRKAA2;GYS2;PYGB;PRKCQ;PYGL;NOS3;PCK1;SLC2A2;RPS6KA2;CPT1A;SLC27A5;SLC27A2;NFKBIA;PPARA;TBC1D4;CREB3L3;PRKAG2;SLC2A4,108 (108),0.0814,0.36,0,,12 (20),1,1,0.286,0.867
IL2 signaling events mediated by STAT5,PID,5,IL2RB;LCK;BCL2;GAB2;PRF1,30 (30),0.375,0.868,0,,0 (0),1,1,0.375,0.868
Fatty acid transporters,Wikipathways,5,FABP2;FABP3;ACSL1;FABP7;FABP4,18 (18),0.0825,0.363,0,,1 (2),1,1,0.288,0.873
Endogenous sterols,Reactome,5,CYP1B1;PTGIS;CYP39A1;CYP8B1;CYP7A1,18 (18),0.0825,0.363,0,,31 (40),1,1,0.288,0.873
Lamivudine Metabolism Pathway,SMPDB,5,ABCC2;CHPT1;SLC22A1;ABCG2;ABCC4,18 (18),0.0825,0.363,0,,13 (13),1,1,0.288,0.873
Intra-Golgi and retrograde Golgi-to-ER traffic,Reactome,16,RAB36;COG5;MAN1C1;KIF23;KIF21B;CENPE;RAB6B;KIF26A;PLA2G6;KIF20B;RAB30;KIF21A;KIF1B;CYTH4;BICD1;GOLIM4,186 (186),0.984,1,1,HMDB0010404,11 (13),0.0852,1,0.292,0.876
Synthesis of IP3 and IP4 in the cytosol,Reactome,7,PLCD3;ITPKC;INPP5D;PLCB4;PLCD1;PLCG2;ITPKA,29 (29),0.0839,0.366,0,,11 (14),1,1,0.292,0.876
Inhibition  of voltage gated Ca2+ channels via Gbeta/gamma subunits,Reactome,7,GABBR2;GNG11;GNGT2;KCNJ10;KCNJ12;GNB5;GNG2,29 (29),0.0839,0.366,0,,2 (2),1,1,0.292,0.876
Metabolism of porphyrins,Reactome,7,UGT1A1;ALAS1;ABCG2;FLVCR1;CPOX;ABCC2;ALB,29 (29),0.0839,0.366,0,,34 (43),1,1,0.292,0.876
Plasma lipoprotein clearance,Reactome,7,NPC1;VLDLR;NCEH1;APOB;LIPA;SCARB1;HDLBP,29 (29),0.0839,0.366,0,,5 (9),1,1,0.292,0.876
Activation of G protein gated Potassium channels,Reactome,7,GABBR2;GNG11;GNGT2;KCNJ10;KCNJ12;GNB5;GNG2,29 (29),0.0839,0.366,0,,2 (2),1,1,0.292,0.876
Pyruvate metabolism,Reactome,7,LDHA;SLC16A1;ME1;LDHB;GSTZ1;PDK4;PDP1,29 (29),0.0839,0.366,0,,24 (25),1,1,0.292,0.876
G protein gated Potassium channels,Reactome,7,GABBR2;GNG11;GNGT2;KCNJ10;KCNJ12;GNB5;GNG2,29 (29),0.0839,0.366,0,,2 (2),1,1,0.292,0.876
The oncogenic action of L-2-hydroxyglutarate in  Hydroxygluaricaciduria,SMPDB,7,SUCLG2;SUCLG1;L2HGDH;DLST;ACO1;IDH1;GLUD1,29 (29),0.0839,0.366,0,,39 (41),1,1,0.292,0.876
Passive transport by Aquaporins,Reactome,4,AQP4;AQP1;AQP9;AQP11,13 (13),0.085,0.369,0,,8 (8),1,1,0.295,0.88
ERBB2 Activates PTK6 Signaling,Reactome,4,NRG4;ERBB2;EREG;HBEGF,13 (13),0.085,0.369,0,,2 (2),1,1,0.295,0.88
ZBP1(DAI) mediated induction of type I IFNs,Reactome,4,NFKBIA;CHUK;RIPK3;IKBKG,13 (13),0.085,0.369,0,,2 (3),1,1,0.295,0.88
visual signal transduction,BioCarta,4,ARRB1;GNGT2;GNAT1;SLC25A22,13 (13),0.085,0.369,0,,6 (6),1,1,0.295,0.88
extrinsic prothrombin activation pathway,BioCarta,4,F5;FGG;FGA;FGB,13 (13),0.085,0.369,0,,1 (1),1,1,0.295,0.88
Caffeine and Theobromine metabolism,Wikipathways,0,,4 (4),1,1,1,HMDB0001860,11 (11),0.0852,1,0.295,0.88
Fc gamma R-mediated phagocytosis - Homo sapiens (human),KEGG,18,LAT;PLA2G4E;LIMK1;PLPP1;PLPP2;FCGR2B;GAB2;PLA2G6;PAK1;VASP;VAV1;INPP5D;PLA2G4F;GSN;PLCG2;WASF3;WASF2;WAS,96 (97),0.0861,0.374,0,,7 (8),1,1,0.297,0.887
Free fatty acid receptors,Reactome,1,FFAR4,5 (5),0.513,0.995,1,HMDB0002183,23 (24),0.17,1,0.3,0.889
Nicotinate and nicotinamide metabolism - Homo sapiens (human),KEGG,8,NNMT;NUDT12;BST1;ENPP1;SIRT5;QPRT;NADSYN1;NNT,35 (35),0.0876,0.377,0,,32 (55),1,1,0.301,0.889
RET signaling,Reactome,8,DOK1;DOK2;GRB10;SHANK3;GFRA1;GFRA2;GAB2;MAPK7,35 (35),0.0876,0.377,0,,2 (2),1,1,0.301,0.889
Neuronal System,Reactome,62,GABRB3;ALDH5A1;SLC6A12;SLC6A13;CACNA2D1;CACNB1;ABAT;ADCY4;NCALD;BEGAIN;STXBP1;PTPRD;CAMKK1;KCNA7;PTPRF;KCNB1;MYO6;ARHGEF7;PRKAR1B;KCNQ4;CAMK2A;PRKAR2A;PPFIA2;SLC22A1;KCNJ10;KCNAB1;KCNJ12;GNB5;PRKAA2;EPB41L5;KCNK1;GLUL;EPB41L3;KCNAB2;KCNMB1;KCNN1;KCNN2;KCNN4;KCNQ1;SYT1;DLG4;KCNK6;GNAI1;KCNK13;BCHE;ACTN2;KCNG4;PRKAG2;RPS6KA2;GABBR2;GNG2;GNG11;SLC1A1;SLC1A2;SLC1A3;ADCY2;SHANK3;CHRNA2;ADCY9;EPB41L1;GNGT2;GABRA3,391 (391),0.0878,0.377,0,,69 (78),1,1,0.301,0.889
Membrane Trafficking,Reactome,76,TBC1D8B;FZD4;KIF1B;KIF21B;SEC22C;GJA1;RIN1;F8;MIA3;GJB1;GJB2;CD3D;HIP1;KIF23;ARRB2;ARRB1;SYT1;ADRB2;HBEGF;STON1;ANK1;ANK2;TBC1D10A;UBQLN1;DENND5B;MYO6;SYNJ2;KIF26A;GOLIM4;LMAN1;RAB27B;MAN1C1;MIA2;SEC24A;KIF21A;SPTB;RAB36;SPTBN2;PRKAA2;RALGAPB;SEC16B;CD55;AP1M2;TBC1D4;AP1S2;SH3D19;COG5;RAB7B;PRKAG2;APOB;PLA2G6;EPN2;ASB15;SYTL1;APP;RINL;REPS2;PUM1;CENPE;RAB30;RAB6B;F5;RAB3IL1;USO1;EREG;FCHO1;KIF20B;DENND3;SEC23A;PACSIN1;CYTH4;VPS37A;SFN;BICD1;MVB12B;OPTN,578 (578),0.593,1,1,HMDB0010404,20 (31),0.15,1,0.304,0.889
dermatan sulfate biosynthesis (late stages),HumanCyc,2,CHST15;CHST14,4 (4),0.0895,0.377,0,,3 (3),1,1,0.306,0.889
phenylethylamine degradation I,HumanCyc,2,ALDH3A2;AOC3,4 (4),0.0895,0.377,0,,10 (10),1,1,0.306,0.889
NGF processing,Reactome,2,NGF;PCSK6,4 (4),0.0895,0.377,0,,1 (1),1,1,0.306,0.889
Expression and Processing of Neurotrophins,Reactome,2,NGF;PCSK6,4 (4),0.0895,0.377,0,,1 (1),1,1,0.306,0.889
Polyol Pathway,Wikipathways,2,SORD;ALDOB,4 (4),0.0895,0.377,0,,7 (8),1,1,0.306,0.889
propionyl-CoA degradation,HumanCyc,2,PCCB;PCCA,4 (4),0.0895,0.377,0,,8 (9),1,1,0.306,0.889
Reuptake of GABA,Reactome,2,SLC6A12;SLC6A13,4 (4),0.0895,0.377,0,,6 (6),1,1,0.306,0.889
Ion influx/efflux at host-pathogen interface,Reactome,2,ATP7A;SLC11A1,4 (4),0.0895,0.377,0,,9 (12),1,1,0.306,0.889
Cholesterol biosynthesis via desmosterol,Reactome,2,SC5D;DHCR24,4 (4),0.0895,0.377,0,,10 (10),1,1,0.306,0.889
Cholesterol biosynthesis via lathosterol,Reactome,2,SC5D;DHCR24,4 (4),0.0895,0.377,0,,10 (10),1,1,0.306,0.889
Mitochondrial ABC transporters,Reactome,2,ABCB6;ABCB7,4 (4),0.0895,0.377,0,,5 (6),1,1,0.306,0.889
2-oxoisovalerate decarboxylation to isobutanoyl-CoA,HumanCyc,2,BCKDHB;DBT,4 (4),0.0895,0.377,0,,7 (7),1,1,0.306,0.889
Glycine degradation,Reactome,2,AMT;GLDC,4 (4),0.0895,0.377,0,,8 (11),1,1,0.306,0.889
Intestinal absorption,Reactome,2,SLC2A2;SLC5A1,4 (4),0.0895,0.377,0,,4 (8),1,1,0.306,0.889
Regulation of Apoptosis,Reactome,2,OPA1;ARHGAP10,4 (4),0.0895,0.377,0,,1 (1),1,1,0.306,0.889
Scavenging by Class H Receptors,Reactome,2,APOB;STAB1,4 (4),0.0895,0.377,0,,7 (11),1,1,0.306,0.889
phospholipase c delta in phospholipid associated cell signaling,BioCarta,2,DLC1;PLCD1,4 (4),0.0895,0.377,0,,1 (1),1,1,0.306,0.889
Axonal growth stimulation,Reactome,2,NGF;NGFR,4 (4),0.0895,0.377,0,,1 (1),1,1,0.306,0.889
Fosphenytoin (Antiarrhythmic) Metabolism Pathway,SMPDB,2,SNTB1;SCN5A,4 (4),0.0895,0.377,0,,2 (2),1,1,0.306,0.889
Thiamine Metabolism,SMPDB,2,TPK1;THTPA,4 (4),0.0895,0.377,0,,9 (9),1,1,0.306,0.889
G alpha (z) signalling events,Reactome,9,GNG11;ADCY4;GNGT2;ADCY2;PRKCH;ADCY9;PRKCQ;GNB5;GNG2,41 (41),0.0896,0.377,0,,12 (13),1,1,0.306,0.889
Posttranslational regulation of adherens junction stability and dissassembly,PID,11,ADAM10;FGF1;FGF2;DSP;GFRA1;NTRK2;FGFR1;IGF1R;ABL1;IQGAP1;MMP7,53 (53),0.0902,0.379,0,,3 (3),1,1,0.307,0.892
superpathway of conversion of glucose to acetyl CoA and entry into the TCA cycle,HumanCyc,10,PKLR;ALDOA;PKM;ALDOB;SUCLG2;PGAM2;ENO3;SUCLG1;DLST;ACO1,47 (48),0.0903,0.379,0,,33 (36),1,1,0.307,0.892
Ion transport by P-type ATPases,Reactome,10,FXYD6;ATP2A1;ATP2A3;ATP11C;ATP2B4;ATP8B2;ATP7A;ATP7B;ATP1A2;ATP9A,47 (47),0.0903,0.379,0,,13 (17),1,1,0.307,0.892
Triacylglyceride synthesis,Wikipathways,6,GPD1;PLPP2;DGAT2;GPAM;PLPP1;GK,24 (24),0.0921,0.385,0,,6 (10),1,1,0.312,0.901
glycolysis,HumanCyc,6,PKLR;ALDOA;PKM;ALDOB;PGAM2;ENO3,24 (25),0.0921,0.385,0,,17 (20),1,1,0.312,0.901
Plexin-D1 Signaling,PID,6,ITGA8;ITGA6;SEMA3C;PLXND1;ITGA3;ITGA5,24 (24),0.0921,0.385,0,,2 (2),1,1,0.312,0.901
Glycogen metabolism,Reactome,6,UGP2;GBE1;PHKG1;PYGB;PYGL;GYS2,24 (24),0.0921,0.385,0,,14 (16),1,1,0.312,0.901
Kit receptor signaling pathway,Wikipathways,9,DOK1;KIT;SH2B2;VAV1;GRB10;INPP5D;BCL2;GAB2;SNAI1,59 (59),0.394,0.902,0,,0 (0),1,1,0.394,0.902
GP1b-IX-V activation signalling,Reactome,2,VWF;FLNA,10 (10),0.396,0.902,0,,0 (1),1,1,0.396,0.902
Growth hormone signaling,INOH,2,GHR;SOCS2,10 (10),0.396,0.902,0,,0 (0),1,1,0.396,0.902
Gap junction degradation,Reactome,2,GJA1;MYO6,10 (10),0.396,0.902,0,,0 (1),1,1,0.396,0.902
Apoptotic cleavage of cellular proteins,Reactome,6,SATB1;LMNB1;VIM;DSP;PRKCQ;GSN,38 (38),0.402,0.903,0,,0 (0),1,1,0.402,0.903
Ovarian infertility,Wikipathways,5,SMAD3;PRLR;NRIP1;VDR;EGR1,31 (31),0.404,0.903,0,,0 (0),1,1,0.404,0.903
NOTCH1 regulation of endothelial cell calcification,Wikipathways,3,MGP;GJA5;DLL4,17 (17),0.404,0.903,0,,0 (0),1,1,0.404,0.903
TNF receptor superfamily (TNFSF) members mediating non-canonical NF-kB pathway,Reactome,3,TNFRSF11A;LTB;TNFRSF13C,17 (17),0.404,0.903,0,,0 (0),1,1,0.404,0.903
role of pi3k subunit p85 in regulation of actin organization and cell migration,BioCarta,3,PAK1;PDGFRA;ASB15,17 (17),0.404,0.903,0,,0 (0),1,1,0.404,0.903
y branching of actin filaments,BioCarta,3,PIR;WASF2;ASB15,17 (17),0.404,0.903,0,,0 (0),1,1,0.404,0.903
SRF and miRs in Smooth Muscle Differentiation and Proliferation,Wikipathways,3,MEF2C;SRF;KLF4,17 (17),0.404,0.903,0,,0 (0),1,1,0.404,0.903
GABA receptor Signaling,Wikipathways,4,GABRP;GABRB3;GABRA3;ALDH9A1,24 (24),0.405,0.903,0,,0 (0),1,1,0.405,0.903
Fibroblast growth factor-1,NetPath,11,FGF1;SLC7A6;PTPN18;MUC1;SDC1;FGFR1;DOK2;APP;TPCN1;MAPK7;PDLIM3,74 (74),0.406,0.905,0,,0 (1),1,1,0.406,0.905
Acute viral myocarditis,Wikipathways,15,ITGAL;LAMA2;ITGB2;PYCARD;CXCR4;SGCG;CD55;CCR5;BCL2;SGCB;ABL1;CAV1;TLR4;TLR5;MMP9,78 (78),0.093,0.388,0,,3 (7),1,1,0.314,0.906
Methionine and cysteine metabolism,EHMN,15,AHCY;SLC7A8;SUOX;SLC43A2;CP;CBS;CDO1;SLC26A1;SLC1A5;TAT;SLC25A13;GOT2;NUP35;TRDMT1;MPST,78 (78),0.093,0.388,0,,65 (80),1,1,0.314,0.906
Novel intracellular components of RIG-I-like receptor (RLR) pathway,Wikipathways,9,MAPK11;CHUK;IKBKG;MAPK13;MAP3K1;TKFC;NFKBIA;TBKBP1;MAPK12,60 (60),0.414,0.921,0,,0 (0),1,1,0.414,0.921
GPCR signaling-cholera toxin,INOH,44,VEGFC;TGFB2;FGF1;IL11;FZD9;LIF;BMP2;BMP5;BMP6;INHBE;ADCY4;EREG;RGS19;FZD8;PDGFB;ADORA1;BMP10;DLL4;INHBC;PRKAR1B;HBEGF;ADORA2B;FGF21;WNT7B;WNT11;TGFB3;HGF;NGF;FZD4;FGF2;PRKAR2A;GNAI1;GNB5;WNT9B;NRG4;IL1B;GDF2;GDF10;GNGT2;ADCY2;RGS3;RGS10;ADCY9;KNG1,270 (270),0.0961,0.4,0,,4 (4),1,1,0.321,0.926
hiv-1 nef: negative effector of fas and tnf,BioCarta,8,LMNB1;GSN;ARHGDIB;BCL2;MAP3K1;NFKBIA;BAG4;CHUK,53 (53),0.418,0.927,0,,0 (0),1,1,0.418,0.927
Aryl Hydrocarbon Receptor Netpath,Wikipathways,7,NQO1;AHR;CYP1A1;CYP1B1;NRIP1;PTGS2;FGF21,46 (46),0.422,0.927,0,,0 (2),1,1,0.422,0.927
Constitutive Androstane Receptor Pathway,Wikipathways,5,EHHADH;ALAS1;ABCC2;NR1I3;UGT1A1,32 (32),0.432,0.927,0,,0 (1),1,1,0.432,0.927
Signal Transduction of S1P Receptor,Wikipathways,4,GNAI1;MAPK12;MAPK7;S1PR2,25 (25),0.436,0.927,0,,0 (0),1,1,0.436,0.927
RORA activates gene expression,Reactome,1,CPT1A,4 (4),0.438,0.927,0,,0 (0),1,1,0.438,0.927
Activation_ myristolyation of BID and translocation to mitochondria,Reactome,1,GZMB,4 (4),0.438,0.927,0,,0 (0),1,1,0.438,0.927
IkBA variant leads to EDA-ID,Reactome,1,NFKBIA,4 (4),0.438,0.927,0,,0 (0),1,1,0.438,0.927
Diseases associated with the TLR signaling cascade,Reactome,1,NFKBIA,4 (4),0.438,0.927,0,,0 (0),1,1,0.438,0.927
Diseases of Immune System,Reactome,1,NFKBIA,4 (4),0.438,0.927,0,,0 (0),1,1,0.438,0.927
Microbial modulation of RIPK1-mediated regulated necrosis,Reactome,1,RIPK3,4 (4),0.438,0.927,0,,0 (1),1,1,0.438,0.927
ahr signal transduction pathway,BioCarta,1,AHR,4 (4),0.438,0.927,0,,0 (1),1,1,0.438,0.927
transcriptional activation of dbpb from mrna,BioCarta,1,PDGFB,4 (4),0.438,0.927,0,,0 (0),1,1,0.438,0.927
IL-4 signaling pathway,Wikipathways,8,MAPK11;GAB2;FLNA;INPP5D;DOK2;SOCS5;NFKBIA;CHUK,54 (54),0.439,0.927,0,,0 (0),1,1,0.439,0.927
Mammary gland development pathway - Embryonic development (Stage 1 of 4),Wikipathways,3,CLDN4;SFRP1;ITGA6,18 (18),0.441,0.927,0,,0 (1),1,1,0.441,0.927
AndrogenReceptor,NetPath,20,XRCC5;TGFB1I1;FHL2;SLC25A4;AHR;HSPA1A;FLNA;KAT7;HDAC7;SVIL;HSPB1;DDC;GSN;KDM4C;SMAD3;CAV1;ZMIZ1;PAK6;DBT;NCOA4,142 (142),0.443,0.927,0,,0 (0),1,1,0.443,0.927
Gene regulatory network modelling somitogenesis,Wikipathways,2,LFNG;EPHA4,11 (11),0.445,0.927,0,,0 (0),1,1,0.445,0.927
PTF1A related regulatory pathway,Wikipathways,2,RBPJ;PROX1,11 (11),0.445,0.927,0,,0 (0),1,1,0.445,0.927
SUMOylation of immune response proteins,Reactome,2,NFKBIA;IKBKG,11 (11),0.445,0.927,0,,0 (1),1,1,0.445,0.927
Dissolution of Fibrin Clot,Reactome,2,HRG;PLG,11 (11),0.445,0.927,0,,0 (1),1,1,0.445,0.927
ALK2 signaling events,PID,2,SMAD9;SMAD1,11 (11),0.445,0.927,0,,0 (0),1,1,0.445,0.927
Signaling mediated by p38-gamma and p38-delta,PID,2,MAPK13;MAPK12,11 (11),0.445,0.927,0,,0 (0),1,1,0.445,0.927
apoptotic dna-fragmentation and tissue homeostasis,BioCarta,2,GZMB;HMGB2,11 (11),0.445,0.927,0,,0 (0),1,1,0.445,0.927
T cell receptor signaling pathway - Homo sapiens (human),KEGG,19,LAT;MAPK11;PAK1;MAPK13;NFATC2;PAK3;LCK;PAK6;VAV1;CARD11;CD3D;PRKCQ;CTLA4;NFKBIA;GRAP2;CHUK;MAPK12;CD8A;IKBKG,104 (104),0.0974,0.403,0,,4 (4),1,1,0.324,0.931
C-type lectin receptor signaling pathway - Homo sapiens (human),KEGG,19,MAPK11;IL1B;CLEC1B;MAPK13;NFATC2;EGR3;NFATC4;CARD9;KSR1;PAK1;PTGS2;PLCG2;RELB;PYCARD;NFKBIA;CHUK;MAPK12;ITPR3;IKBKG,104 (104),0.0974,0.403,0,,6 (12),1,1,0.324,0.931
TCA cycle,EHMN,7,SUCLG2;SUCLG1;SLC13A3;DLST;ACO1;PCK1;IDH1,30 (30),0.0974,0.403,0,,36 (36),1,1,0.324,0.931
The oncogenic action of D-2-hydroxyglutarate in  Hydroxygluaricaciduria ,SMPDB,7,SUCLG2;SUCLG1;L2HGDH;DLST;ACO1;IDH1;GLUD1,30 (30),0.0974,0.403,0,,39 (41),1,1,0.324,0.931
Innate Immune System,Reactome,157,A1BG;CFH;CFHR1;CPPED1;ABL1;ATP7A;CPN2;PLPP5;IQGAP2;BST1;CD300A;RPS6KA2;GSN;PECAM1;WASF3;CD55;ACTG1;BPIFB1;UNC13D;NCF2;PGLYRP2;CD46;BCL2;SIRPA;CR2;ITGAL;ITGAM;ADAM8;ADAM10;HPSE;ITGB2;MEF2C;MAP3K1;PGRMC1;CEACAM1;FGL2;ITPR3;DEFB1;STK10;CCR2;DOK3;PTPRB;MAPK12;MGST1;PIGR;NFATC2;CARD9;PAK3;VNN1;CD300LB;NFKBIA;GRAP2;PKM;FGB;AHSG;PYGB;PYGL;C3;C3AR1;CREG1;BIN2;MME;PLCG2;C6;CKAP4;C8A;C8B;IQGAP1;MMP9;C9;ALDOA;CHUK;HSPA1A;HSPA1B;CDA;NOS3;ALOX5;CNN2;SLC27A2;CRISPLD2;MGAM;GAB2;AMPD3;C5AR1;ADGRG3;VTN;RIPK3;FGG;WAS;ANPEP;FGA;DSP;FGR;ANXA2;QSOX1;DUSP4;ICAM2;DUSP7;SLC44A2;KCNAB2;IKBKG;ARHGAP9;CAT;CPB2;APOB;RELB;IDH1;TLR9;LCK;ASB15;APP;XRCC5;CFI;NFAM1;MUC1;HVCN1;COTL1;PRDX6;LGALS3;ARG1;CD93;ORM2;RHOF;LIMK1;TKFC;SLC11A1;LAT;ART1;CD19;P2RX7;TIMP2;VAV1;C7;PLEKHO2;WASF2;PYCARD;TLR1;SYNGR1;ATP6V0E2;TLR4;TLR5;SLPI;PAK1;PSMD1;CD63;ADGRE5;CARD11;IGLC2;PRKCQ;MAPK7;MAPK11;IL1B;MAPK13;ARHGAP45;PADI2;CD300E;MASP2,1064 (1065),0.098,0.405,0,,57 (119),1,1,0.326,0.934
Phosphatidylinositol phosphate metabolism,EHMN,14,PLCD3;GPLD1;SLC17A5;PIK3C2G;SLC37A4;ITPKC;OXSM;PLCB4;ATP8B2;PIP4K2A;NUP35;ITPKA;PIGL;PLCD1,93 (93),0.364,0.856,1,HMDB0011668,39 (48),0.272,1,0.328,0.94
O-Glycan biosynthesis,EHMN,8,GALNT15;SLC35D1;GALNT18;GALNT16;GALNT12;ST3GAL2;GALNT6;GALNT3,36 (36),0.1,0.411,0,,7 (17),1,1,0.33,0.943
Starch and sucrose metabolism - Homo sapiens (human),KEGG,8,UGP2;GBE1;MGAM;PYGB;PYGL;ENPP1;GYS2;HKDC1,36 (36),0.1,0.411,0,,16 (37),1,1,0.33,0.943
PKA-mediated phosphorylation of CREB,Reactome,5,ADCY4;PRKAR2A;ADCY9;ADCY2;PRKAR1B,19 (19),0.1,0.411,0,,5 (5),1,1,0.331,0.943
Nucleotide-like (purinergic) receptors,Reactome,5,ADORA2B;P2RY10;ADORA1;P2RY4;P2RY6,19 (19),0.1,0.411,0,,9 (12),1,1,0.331,0.943
Prostacyclin signalling through prostacyclin receptor,Reactome,5,GNB5;GNGT2;GNG2;PTGIR;GNG11,19 (19),0.1,0.411,0,,3 (3),1,1,0.331,0.943
Na+/Cl- dependent neurotransmitter transporters,Reactome,5,SLC6A9;SLC6A13;SLC18A1;SLC6A12;SLC22A1,19 (19),0.1,0.411,0,,28 (32),1,1,0.331,0.943
Ibuprofen Action Pathway,SMPDB,9,PTGES;UGT1A1;CYP2E1;EPHX2;PTGIS;PTGS2;ALOX5;GGT1;ALOX12,50 (50),0.221,0.659,1,HMDB0010404,74 (79),0.455,1,0.331,0.943
GPCR signaling-G alpha s PKA and ERK,INOH,46,VEGFC;TGFB2;FGF1;IL11;FZD9;LIF;BMP2;BMP5;BMP6;INHBE;ADCY4;EREG;RGS19;FZD8;PDGFB;PRKAR1B;ADORA1;BMP10;DLL4;INHBC;RAPGEF3;HBEGF;ADORA2B;FGF21;WNT7B;WNT11;TGFB3;HGF;NGF;FZD4;FGF2;PRKAR2A;GNAI1;GNB5;WNT9B;NRG4;IL1B;GDF2;GDF10;GNGT2;ADCY2;RGS3;RAPGEF4;RGS10;ADCY9;KNG1,285 (285),0.102,0.418,0,,4 (4),1,1,0.335,0.953
