pathway_name,pathway_source,num_overlapping_genes,overlapping_genes,num_all_pathway_genes,P_genes,Q_genes,num_overlapping_metabolites,overlapping_metabolites,num_all_pathway_metabolites,P_metabolites,Q_metabolites,P_joint,Q_joint
Amiodarone Action Pathway,SMPDB,1,MYLK,61 (61),0.328,1,1,HMDB0009888,11 (11),0.0852,1,0.128,0.399
Disopyramide Action Pathway,SMPDB,1,MYLK,61 (61),0.328,1,1,HMDB0009888,11 (11),0.0852,1,0.128,0.399
Procainamide (Antiarrhythmic) Action Pathway,SMPDB,1,MYLK,61 (61),0.328,1,1,HMDB0009888,11 (11),0.0852,1,0.128,0.399
Bopindolol Action Pathway,SMPDB,1,MYLK,61 (61),0.328,1,1,HMDB0009888,11 (11),0.0852,1,0.128,0.399
Timolol Action Pathway,SMPDB,1,MYLK,61 (61),0.328,1,1,HMDB0009888,11 (11),0.0852,1,0.128,0.399
Carteolol Action Pathway,SMPDB,1,MYLK,61 (61),0.328,1,1,HMDB0009888,11 (11),0.0852,1,0.128,0.399
Bevantolol Action Pathway,SMPDB,1,MYLK,61 (61),0.328,1,1,HMDB0009888,11 (11),0.0852,1,0.128,0.399
Practolol Action Pathway,SMPDB,1,MYLK,61 (61),0.328,1,1,HMDB0009888,11 (11),0.0852,1,0.128,0.399
Dobutamine Action Pathway,SMPDB,1,MYLK,61 (61),0.328,1,1,HMDB0009888,11 (11),0.0852,1,0.128,0.399
Isoprenaline Action Pathway,SMPDB,1,MYLK,61 (61),0.328,1,1,HMDB0009888,11 (11),0.0852,1,0.128,0.399
Levobunolol Action Pathway,SMPDB,1,MYLK,61 (61),0.328,1,1,HMDB0009888,11 (11),0.0852,1,0.128,0.399
Metipranolol Action Pathway,SMPDB,1,MYLK,61 (61),0.328,1,1,HMDB0009888,11 (11),0.0852,1,0.128,0.399
Mexiletine Action Pathway,SMPDB,1,MYLK,61 (61),0.328,1,1,HMDB0009888,11 (11),0.0852,1,0.128,0.399
Quinidine Action Pathway,SMPDB,1,MYLK,61 (61),0.328,1,1,HMDB0009888,11 (11),0.0852,1,0.128,0.399
Sotalol Action Pathway,SMPDB,1,MYLK,61 (61),0.328,1,1,HMDB0009888,11 (11),0.0852,1,0.128,0.399
Epinephrine Action Pathway,SMPDB,1,MYLK,61 (61),0.328,1,1,HMDB0009888,11 (11),0.0852,1,0.128,0.399
Betaxolol Action Pathway,SMPDB,1,MYLK,61 (61),0.328,1,1,HMDB0009888,11 (11),0.0852,1,0.128,0.399
Atenolol Action Pathway,SMPDB,1,MYLK,61 (61),0.328,1,1,HMDB0009888,11 (11),0.0852,1,0.128,0.399
Acebutolol Action Pathway,SMPDB,1,MYLK,61 (61),0.328,1,1,HMDB0009888,11 (11),0.0852,1,0.128,0.399
Propranolol Action Pathway,SMPDB,1,MYLK,61 (61),0.328,1,1,HMDB0009888,11 (11),0.0852,1,0.128,0.399
Pindolol Action Pathway,SMPDB,1,MYLK,61 (61),0.328,1,1,HMDB0009888,11 (11),0.0852,1,0.128,0.399
Penbutolol Action Pathway,SMPDB,1,MYLK,61 (61),0.328,1,1,HMDB0009888,11 (11),0.0852,1,0.128,0.399
Oxprenolol Action Pathway,SMPDB,1,MYLK,61 (61),0.328,1,1,HMDB0009888,11 (11),0.0852,1,0.128,0.399
Metoprolol Action Pathway,SMPDB,1,MYLK,61 (61),0.328,1,1,HMDB0009888,11 (11),0.0852,1,0.128,0.399
Esmolol Action Pathway,SMPDB,1,MYLK,61 (61),0.328,1,1,HMDB0009888,11 (11),0.0852,1,0.128,0.399
Bisoprolol Action Pathway,SMPDB,1,MYLK,61 (61),0.328,1,1,HMDB0009888,11 (11),0.0852,1,0.128,0.399
Bupranolol Action Pathway,SMPDB,1,MYLK,61 (61),0.328,1,1,HMDB0009888,11 (11),0.0852,1,0.128,0.399
Nebivolol Action Pathway,SMPDB,1,MYLK,61 (61),0.328,1,1,HMDB0009888,11 (11),0.0852,1,0.128,0.399
Amlodipine Action Pathway,SMPDB,1,MYLK,61 (61),0.328,1,1,HMDB0009888,11 (11),0.0852,1,0.128,0.399
Verapamil Action Pathway,SMPDB,1,MYLK,61 (61),0.328,1,1,HMDB0009888,11 (11),0.0852,1,0.128,0.399
Nitrendipine Action Pathway,SMPDB,1,MYLK,61 (61),0.328,1,1,HMDB0009888,11 (11),0.0852,1,0.128,0.399
Nisoldipine Action Pathway,SMPDB,1,MYLK,61 (61),0.328,1,1,HMDB0009888,11 (11),0.0852,1,0.128,0.399
Nimodipine Action Pathway,SMPDB,1,MYLK,61 (61),0.328,1,1,HMDB0009888,11 (11),0.0852,1,0.128,0.399
Ibutilide Action Pathway,SMPDB,1,MYLK,61 (61),0.328,1,1,HMDB0009888,11 (11),0.0852,1,0.128,0.399
Tocainide Action Pathway,SMPDB,1,MYLK,61 (61),0.328,1,1,HMDB0009888,11 (11),0.0852,1,0.128,0.399
Flecainide Action Pathway,SMPDB,1,MYLK,61 (61),0.328,1,1,HMDB0009888,11 (11),0.0852,1,0.128,0.399
Isradipine Action Pathway,SMPDB,1,MYLK,61 (61),0.328,1,1,HMDB0009888,11 (11),0.0852,1,0.128,0.399
Nifedipine Action Pathway,SMPDB,1,MYLK,61 (61),0.328,1,1,HMDB0009888,11 (11),0.0852,1,0.128,0.399
Nadolol Action Pathway,SMPDB,1,MYLK,61 (61),0.328,1,1,HMDB0009888,11 (11),0.0852,1,0.128,0.399
Carvedilol Action Pathway,SMPDB,1,MYLK,62 (62),0.332,1,1,HMDB0009888,11 (11),0.0852,1,0.129,0.401
Labetalol Action Pathway,SMPDB,1,MYLK,62 (62),0.332,1,1,HMDB0009888,11 (11),0.0852,1,0.129,0.401
Biosynthesis of specialized proresolving mediators (SPMs),Reactome,1,GSTM4,19 (19),0.116,0.958,1,HMDB0002183,35 (143),0.248,1,0.131,0.405
Arachidonic acid metabolism,Reactome,2,PON1;CYP8B1,60 (60),0.0576,0.666,1,HMDB0010404,89 (114),0.519,1,0.135,0.416
chrebp regulation by carbohydrates and camp,BioCarta,2,PKLR;ACSM1,42 (42),0.0302,0.463,0,,8 (12),1,1,0.136,0.419
Fosphenytoin (Antiarrhythmic) Action Pathway,SMPDB,1,MYLK,61 (61),0.328,1,1,HMDB0009888,12 (12),0.0926,1,0.136,0.419
superpathway of tryptophan utilization,HumanCyc,2,HAAO;IDO2,43 (43),0.0315,0.474,0,,59 (70),1,1,0.141,0.422
T-Cell Receptor and Co-stimulatory Signaling,Wikipathways,0,,30 (30),1,1,1,HMDB0009888,4 (4),0.0318,1,0.142,0.422
Heroin Metabolism Pathway,SMPDB,0,,4 (4),1,1,1,HMDB0041812,4 (5),0.0318,1,0.142,0.422
TCA Cycle Nutrient Utilization and Invasiveness of Ovarian Cancer,Wikipathways,1,EGFR,5 (5),0.032,0.474,0,,4 (4),1,1,0.142,0.422
Degradation pathway of sphingolipids_ including diseases,Wikipathways,1,HEXA,5 (5),0.032,0.474,0,,9 (13),1,1,0.142,0.422
Keratan sulfate degradation,Reactome,1,HEXA,5 (5),0.032,0.474,0,,3 (10),1,1,0.142,0.422
UDP-<i>N</i>-acetyl-D-glucosamine biosynthesis II,HumanCyc,1,GFPT1,5 (5),0.032,0.474,0,,9 (11),1,1,0.142,0.422
Fructose catabolism,Reactome,1,KHK,5 (5),0.032,0.474,0,,11 (15),1,1,0.142,0.422
asparagine degradation,HumanCyc,1,ASPG,5 (5),0.032,0.474,0,,10 (10),1,1,0.142,0.422
Neomycin_ kanamycin and gentamicin biosynthesis - Homo sapiens (human),KEGG,1,GCK,5 (5),0.032,0.474,0,,8 (81),1,1,0.142,0.422
Hypophosphatasia,SMPDB,1,AOX1,5 (5),0.032,0.474,0,,19 (20),1,1,0.142,0.422
Vitamin B6 Metabolism,SMPDB,1,AOX1,5 (5),0.032,0.474,0,,19 (20),1,1,0.142,0.422
Taurine and Hypotaurine Metabolism,SMPDB,1,CSAD,5 (5),0.032,0.474,0,,11 (12),1,1,0.142,0.422
Glucagon signaling pathway - Homo sapiens (human),KEGG,3,SLC2A2;PYGL;GCK,107 (107),0.0322,0.475,0,,21 (26),1,1,0.143,0.423
Plasma lipoprotein assembly_ remodeling_ and clearance,Reactome,1,APOA2,60 (60),0.323,1,1,HMDB0010404,13 (21),0.0999,1,0.143,0.423
a6b1 and a6b4 Integrin signaling,PID,2,CD9;EGFR,45 (45),0.0343,0.503,0,,3 (3),1,1,0.15,0.441
Warburg Effect,SMPDB,2,PKLR;SLC2A2,45 (45),0.0343,0.503,0,,52 (58),1,1,0.15,0.441
Digestion and absorption,Reactome,1,SLC2A2,26 (26),0.156,1,1,HMDB0000036,33 (45),0.235,1,0.158,0.455
Choline metabolism in cancer - Homo sapiens (human),KEGG,1,EGFR,98 (98),0.472,1,1,HMDB0010404,10 (11),0.0777,1,0.158,0.455
superpathway of conversion of glucose to acetyl CoA and entry into the TCA cycle,HumanCyc,2,PKLR;GCK,47 (48),0.0371,0.526,0,,33 (36),1,1,0.159,0.455
Fluoroacetic acid toxicity,Wikipathways,1,ACSS2,6 (6),0.0382,0.526,0,,2 (6),1,1,0.163,0.455
ethanol degradation IV,HumanCyc,1,ACSS2,6 (6),0.0382,0.526,0,,13 (13),1,1,0.163,0.455
Pre-NOTCH Processing in the Endoplasmic Reticulum,Reactome,1,POFUT1,6 (6),0.0382,0.526,0,,4 (4),1,1,0.163,0.455
Choline catabolism,Reactome,1,ALDH7A1,6 (6),0.0382,0.526,0,,13 (15),1,1,0.163,0.455
Alpha-oxidation of phytanate,Reactome,1,HACL1,6 (6),0.0382,0.526,0,,23 (27),1,1,0.163,0.455
GDP-glucose biosynthesis II,HumanCyc,1,GCK,6 (6),0.0382,0.526,0,,10 (11),1,1,0.163,0.455
Conjugation of benzoate with glycine,Reactome,1,ACSM1,6 (6),0.0382,0.526,0,,7 (8),1,1,0.163,0.455
Vitamin B6 metabolism - Homo sapiens (human),KEGG,1,AOX1,6 (6),0.0382,0.526,0,,19 (29),1,1,0.163,0.455
lysine degradation II (pipecolate pathway),HumanCyc,1,ALDH7A1,6 (6),0.0382,0.526,0,,21 (21),1,1,0.163,0.455
Nateglinide Action Pathway,SMPDB,1,SLC2A2,6 (6),0.0382,0.526,0,,4 (5),1,1,0.163,0.455
Glibenclamide Action Pathway,SMPDB,1,SLC2A2,6 (6),0.0382,0.526,0,,4 (5),1,1,0.163,0.455
Gliclazide Action Pathway,SMPDB,1,SLC2A2,6 (6),0.0382,0.526,0,,3 (5),1,1,0.163,0.455
PTK6 promotes HIF1A stabilization,Reactome,1,EGFR,6 (6),0.0382,0.526,0,,2 (2),1,1,0.163,0.455
Pancreas Function,SMPDB,1,SLC2A2,6 (6),0.0382,0.526,0,,3 (4),1,1,0.163,0.455
Repaglinide Action Pathway,SMPDB,1,SLC2A2,6 (6),0.0382,0.526,0,,4 (5),1,1,0.163,0.455
Refsum Disease,SMPDB,1,HACL1,6 (6),0.0382,0.526,0,,22 (24),1,1,0.163,0.455
Phytanic Acid Peroxisomal Oxidation,SMPDB,1,HACL1,6 (6),0.0382,0.526,0,,22 (24),1,1,0.163,0.455
Nicotine Metabolism,Wikipathways,1,AOX1,6 (6),0.0382,0.526,0,,10 (10),1,1,0.163,0.455
Focal Adhesion,Wikipathways,4,COL5A2;PPP1R12A;EGFR;MYLK,198 (198),0.0396,0.543,0,,1 (2),1,1,0.167,0.465
Ceramide signalling,Reactome,0,,3 (3),1,1,1,HMDB0013461,5 (5),0.0396,1,0.168,0.465
Necroptosis - Homo sapiens (human),KEGG,1,PYGL,159 (159),0.646,1,1,HMDB0013461,8 (10),0.0627,1,0.17,0.472
Methionine Cysteine metabolism,INOH,1,CSAD,24 (24),0.144,1,1,HMDB0000036,41 (45),0.284,1,0.172,0.475
Sensory processing of sound by outer hair cells of the cochlea,Reactome,2,EPB41L1;GSN,50 (50),0.0416,0.567,0,,6 (7),1,1,0.174,0.479
Aminosugars metabolism,EHMN,2,HEXA;SLC2A2,51 (51),0.0431,0.586,0,,37 (43),1,1,0.179,0.491
Cholesterol Biosynthesis with Skeletal Dysplasias,Wikipathways,1,LBR,7 (7),0.0445,0.588,0,,12 (14),1,1,0.183,0.491
oxidative ethanol degradation III,HumanCyc,1,ACSS2,7 (7),0.0445,0.588,0,,15 (15),1,1,0.183,0.491
CS/DS degradation,Reactome,1,HEXA,7 (7),0.0445,0.588,0,,4 (15),1,1,0.183,0.491
Fructose metabolism,Reactome,1,KHK,7 (7),0.0445,0.588,0,,16 (20),1,1,0.183,0.491
superpathway of choline degradation to L-serine,HumanCyc,1,ALDH7A1,7 (7),0.0445,0.588,0,,16 (16),1,1,0.183,0.491
chondroitin sulfate degradation (metazoa),HumanCyc,1,HEXA,7 (7),0.0445,0.588,0,,70 (131),1,1,0.183,0.491
Suppression of apoptosis,Reactome,1,RNF213,7 (7),0.0445,0.588,0,,2 (2),1,1,0.183,0.491
dermatan sulfate degradation (metazoa),HumanCyc,1,HEXA,7 (7),0.0445,0.588,0,,70 (131),1,1,0.183,0.491
Ethanol Degradation,SMPDB,1,ACSS2,7 (7),0.0445,0.588,0,,18 (18),1,1,0.183,0.491
dopamine degradation,HumanCyc,1,COMT,7 (7),0.0445,0.588,0,,17 (17),1,1,0.183,0.491
mechanism of gene regulation by peroxisome proliferators via ppara,BioCarta,2,APOA2;ME1,52 (52),0.0446,0.588,0,,1 (9),1,1,0.183,0.491
Pentose and glucuronate interconversions - Homo sapiens (human),KEGG,1,UGT2A3,34 (34),0.198,1,1,HMDB0039721,32 (58),0.229,1,0.186,0.497
Mitochondrial biogenesis,Reactome,2,ATP5MC2;ACSS2,53 (53),0.0462,0.607,0,,7 (8),1,1,0.188,0.5
3q29 copy number variation syndrome,Wikipathways,0,,86 (86),1,1,1,HMDB0000036,6 (17),0.0474,1,0.192,0.5
Neurodegeneration with brain iron accumulation (NBIA) subtypes pathway,Wikipathways,0,,44 (44),1,1,1,HMDB0013461,6 (23),0.0474,1,0.192,0.5
mRNA decay by 5_ to 3_ exoribonuclease,Reactome,0,,15 (15),1,1,1,HMDB0001107,6 (7),0.0474,1,0.192,0.5
Glycosylphosphatidylinositol (GPI)-anchor biosynthesis - Homo sapiens (human),KEGG,0,,26 (26),1,1,1,HMDB0011668,6 (16),0.0474,1,0.192,0.5
Acyl chain remodelling of PC,Reactome,0,,27 (27),1,1,1,HMDB0010404,6 (13),0.0474,1,0.192,0.5
Acyl chain remodeling of CL,Reactome,0,,6 (6),1,1,1,HMDB0010404,6 (12),0.0474,1,0.192,0.5
Hydrolysis of LPC,Reactome,0,,11 (11),1,1,1,HMDB0010404,6 (9),0.0474,1,0.192,0.5
phospholipids as signalling intermediaries,BioCarta,0,,33 (33),1,1,1,HMDB0013461,6 (7),0.0474,1,0.192,0.5
Biosynthesis of maresin-like SPMs,Reactome,0,,6 (6),1,1,1,HMDB0002183,6 (17),0.0474,1,0.192,0.5
Insulin Signalling,SMPDB,0,,17 (17),1,1,1,HMDB0009888,6 (7),0.0474,1,0.192,0.5
Selenoamino acid metabolism,Reactome,3,GNMT;INMT;HNMT,128 (128),0.0503,0.616,0,,48 (63),1,1,0.201,0.5
NAD Biosynthesis II (from tryptophan),Wikipathways,1,HAAO,8 (8),0.0507,0.616,0,,24 (24),1,1,0.202,0.5
palmitate biosynthesis,HumanCyc,1,FASN,8 (9),0.0507,0.616,0,,9 (10),1,1,0.202,0.5
Histidine catabolism,Reactome,1,HNMT,8 (8),0.0507,0.616,0,,22 (22),1,1,0.202,0.5
Linoleic acid (LA) metabolism,Reactome,1,ACSL1,8 (8),0.0507,0.616,0,,19 (24),1,1,0.202,0.5
GABA shunt,HumanCyc,1,ABAT,8 (8),0.0507,0.616,0,,13 (13),1,1,0.202,0.5
Lectin pathway of complement activation,Reactome,1,MBL2,8 (8),0.0507,0.616,0,,3 (9),1,1,0.202,0.5
Synthesis of Ketone Bodies,Reactome,1,AACS,8 (8),0.0507,0.616,0,,14 (14),1,1,0.202,0.5
glycogen biosynthesis,HumanCyc,1,GBE1,8 (8),0.0507,0.616,0,,5 (7),1,1,0.202,0.5
Conjugation of salicylate with glycine,Reactome,1,ACSM5,8 (8),0.0507,0.616,0,,7 (8),1,1,0.202,0.5
sucrose degradation,HumanCyc,1,KHK,8 (8),0.0507,0.616,0,,10 (12),1,1,0.202,0.5
cbl mediated ligand-induced downregulation of egf receptors pathway,BioCarta,1,EGFR,8 (8),0.0507,0.616,0,,1 (2),1,1,0.202,0.5
ethanol degradation II,HumanCyc,1,ACSS2,8 (8),0.0507,0.616,0,,12 (12),1,1,0.202,0.5
Galactosemia III,SMPDB,1,GCK,8 (8),0.0507,0.616,0,,19 (20),1,1,0.202,0.5
Galactosemia II (GALK),SMPDB,1,GCK,8 (8),0.0507,0.616,0,,19 (20),1,1,0.202,0.5
Intracellular Signalling Through Prostacyclin Receptor and Prostacyclin,SMPDB,1,MYLK,8 (8),0.0507,0.616,0,,9 (9),1,1,0.202,0.5
Citalopram Metabolism Pathway,SMPDB,1,AOX1,8 (8),0.0507,0.616,0,,17 (18),1,1,0.202,0.5
Glucose-Alanine Cycle,SMPDB,1,SLC2A2,8 (8),0.0507,0.616,0,,10 (11),1,1,0.202,0.5
Betaine Metabolism,SMPDB,1,ALDH7A1,8 (8),0.0507,0.616,0,,20 (22),1,1,0.202,0.5
Nucleotide Sugars Metabolism,SMPDB,1,GCK,8 (8),0.0507,0.616,0,,19 (20),1,1,0.202,0.5
Mitochondrial Beta-Oxidation of Medium Chain Saturated Fatty Acids,SMPDB,1,ACSM1,8 (8),0.0507,0.616,0,,25 (25),1,1,0.202,0.5
Butyrate Metabolism,SMPDB,1,ACSM1,8 (8),0.0507,0.616,0,,19 (19),1,1,0.202,0.5
Effects of nitric oxide,Wikipathways,1,AOX1,8 (8),0.0507,0.616,0,,7 (7),1,1,0.202,0.5
C21-steroid hormone biosynthesis and metabolism,EHMN,2,CYP27A1;AKR1D1,57 (57),0.0526,0.635,0,,46 (61),1,1,0.208,0.513
Regulation of actin cytoskeleton - Homo sapiens (human),KEGG,4,PPP1R12A;EGFR;GSN;MYLK,218 (218),0.053,0.638,0,,2 (5),1,1,0.209,0.515
Sensory processing of sound,Reactome,2,EPB41L1;GSN,58 (58),0.0543,0.651,0,,6 (7),1,1,0.212,0.516
ABC transporters in lipid homeostasis,Reactome,0,,18 (18),1,1,1,HMDB0013461,7 (11),0.055,1,0.215,0.516
COPI-independent Golgi-to-ER retrograde traffic,Reactome,0,,34 (34),1,1,1,HMDB0010404,7 (9),0.055,1,0.215,0.516
phospho-PLA2 pathway,Reactome,0,,2 (2),1,1,1,HMDB0010404,7 (7),0.055,1,0.215,0.516
Biosynthesis of maresins,Reactome,0,,8 (8),1,1,1,HMDB0002183,7 (23),0.055,1,0.215,0.516
EGFR interacts with phospholipase C-gamma,Reactome,1,EGFR,9 (9),0.0568,0.658,0,,2 (2),1,1,0.22,0.516
glycogenolysis,HumanCyc,1,PYGL,9 (9),0.0568,0.658,0,,6 (7),1,1,0.22,0.516
Synthesis of 5-eicosatetraenoic acids,Reactome,1,PON1,9 (9),0.0568,0.658,0,,13 (17),1,1,0.22,0.516
UDP-<i>N</i>-acetyl-D-galactosamine biosynthesis II,HumanCyc,1,GCK,9 (9),0.0568,0.658,0,,13 (16),1,1,0.22,0.516
EGFR-dependent Endothelin signaling events,PID,1,EGFR,9 (9),0.0568,0.658,0,,3 (3),1,1,0.22,0.516
Chylomicron assembly,Reactome,1,APOA2,9 (9),0.0568,0.658,0,,3 (4),1,1,0.22,0.516
Chylomicron remodeling,Reactome,1,APOA2,9 (9),0.0568,0.658,0,,4 (7),1,1,0.22,0.516
glutathione redox reactions I,HumanCyc,1,GPX7,9 (9),0.0568,0.658,0,,62 (100),1,1,0.22,0.516
NR1H2 & NR1H3 regulate gene expression linked to lipogenesis,Reactome,1,FASN,9 (9),0.0568,0.658,0,,3 (4),1,1,0.22,0.516
Clopidogrel Metabolism Pathway,SMPDB,1,PON1,9 (9),0.0568,0.658,0,,9 (9),1,1,0.22,0.516
Transfer of Acetyl Groups into Mitochondria,SMPDB,1,ME1,9 (9),0.0568,0.658,0,,20 (22),1,1,0.22,0.516
Nicotine Metabolism Pathway,SMPDB,1,AOX1,9 (9),0.0568,0.658,0,,20 (22),1,1,0.22,0.516
Clopidogrel Action Pathway,SMPDB,1,PON1,9 (9),0.0568,0.658,0,,9 (9),1,1,0.22,0.516
Folate-Alcohol and Cancer Pathway Hypotheses,Wikipathways,1,ALDH1L1,9 (9),0.0568,0.658,0,,11 (12),1,1,0.22,0.516
Non Ketotic Hyperglycinemia,SMPDB,1,GNMT,27 (27),0.161,1,1,HMDB0000128,54 (55),0.356,1,0.221,0.516
3-Phosphoglycerate dehydrogenase deficiency,SMPDB,1,GNMT,27 (27),0.161,1,1,HMDB0000128,54 (55),0.356,1,0.221,0.516
Glycine and Serine Metabolism,SMPDB,1,GNMT,27 (27),0.161,1,1,HMDB0000128,54 (55),0.356,1,0.221,0.516
Dimethylglycine Dehydrogenase Deficiency,SMPDB,1,GNMT,27 (27),0.161,1,1,HMDB0000128,54 (55),0.356,1,0.221,0.516
Hyperglycinemia_ non-ketotic,SMPDB,1,GNMT,27 (27),0.161,1,1,HMDB0000128,54 (55),0.356,1,0.221,0.516
Dimethylglycine Dehydrogenase Deficiency,SMPDB,1,GNMT,27 (27),0.161,1,1,HMDB0000128,54 (55),0.356,1,0.221,0.516
Sarcosinemia,SMPDB,1,GNMT,27 (27),0.161,1,1,HMDB0000128,54 (55),0.356,1,0.221,0.516
Dihydropyrimidine Dehydrogenase Deficiency (DHPD),SMPDB,1,GNMT,27 (27),0.161,1,1,HMDB0000128,54 (55),0.356,1,0.221,0.516
Linoleate metabolism,EHMN,1,GPX7,72 (72),0.374,1,1,HMDB0010404,21 (24),0.157,1,0.225,0.523
Other types of O-glycan biosynthesis - Homo sapiens (human),KEGG,2,OGT;POFUT1,47 (47),0.0371,0.526,0,,0 (0),1,1,0.0371,0.526
Acrosome Reaction and Sperm:Oocyte Membrane Binding,Reactome,1,CD9,6 (6),0.0382,0.526,0,,0 (0),1,1,0.0382,0.526
Amino Acid metabolism,Wikipathways,2,HNMT;ALDH7A1,91 (91),0.117,0.967,1,HMDB0000128,92 (108),0.531,1,0.235,0.533
mRNA decay by 3_ to 5_ exoribonuclease,Reactome,0,,16 (16),1,1,1,HMDB0001107,8 (10),0.0627,1,0.236,0.533
Deadenylation-dependent mRNA decay,Reactome,0,,56 (56),1,1,1,HMDB0001107,8 (11),0.0627,1,0.236,0.533
creatine biosynthesis,HumanCyc,0,,2 (2),1,1,1,HMDB0000128,8 (8),0.0627,1,0.236,0.533
Hyaluronan uptake and degradation,Reactome,1,HEXA,10 (10),0.0629,0.701,0,,5 (7),1,1,0.237,0.533
TCA cycle in senescence,Wikipathways,1,ME1,10 (10),0.0629,0.701,0,,10 (13),1,1,0.237,0.533
EGFR Transactivation by Gastrin,Reactome,1,EGFR,10 (10),0.0629,0.701,0,,2 (3),1,1,0.237,0.533
mevalonate pathway,HumanCyc,1,MVK,10 (10),0.0629,0.701,0,,17 (17),1,1,0.237,0.533
Neurotransmitter clearance,Reactome,1,COMT,10 (10),0.0629,0.701,0,,31 (33),1,1,0.237,0.533
nicotine degradation III,HumanCyc,1,AOX1,10 (10),0.0629,0.701,0,,13 (24),1,1,0.237,0.533
Ketone body metabolism,Reactome,1,AACS,10 (10),0.0629,0.701,0,,15 (16),1,1,0.237,0.533
Beta Oxidation of Very Long Chain Fatty Acids,SMPDB,1,ACSL1,10 (10),0.0629,0.701,0,,13 (14),1,1,0.237,0.533
Mitochondrial Beta-Oxidation of Long Chain Saturated Fatty Acids,SMPDB,1,ACSL1,10 (10),0.0629,0.701,0,,26 (26),1,1,0.237,0.533
Adrenoleukodystrophy_ X-linked,SMPDB,1,ACSL1,10 (10),0.0629,0.701,0,,13 (14),1,1,0.237,0.533
Carnitine-acylcarnitine translocase deficiency,SMPDB,1,ACSL1,10 (10),0.0629,0.701,0,,13 (14),1,1,0.237,0.533
Vitamin D Metabolism,Wikipathways,1,CYP27A1,10 (10),0.0629,0.701,0,,9 (9),1,1,0.237,0.533
Trans-sulfuration pathway,Wikipathways,1,CSAD,10 (10),0.0629,0.701,0,,14 (14),1,1,0.237,0.533
Lidocaine (Antiarrhythmic) Action Pathway,SMPDB,1,MYLK,63 (63),0.337,1,1,HMDB0009888,26 (26),0.19,1,0.24,0.539
Programmed Cell Death,Reactome,3,OGT;SEPTIN4;GSN,142 (142),0.0646,0.716,0,,11 (21),1,1,0.241,0.54
Peroxisomal protein import,Reactome,2,HACL1;NUDT7,64 (64),0.0646,0.716,0,,1 (1),1,1,0.241,0.54
GPCR downstream signalling,Reactome,1,EGFR,633 (633),0.985,1,3,HMDB0010404;HMDB0034927;HMDB0002183,118 (152),0.0662,1,0.243,0.543
Association Between Physico-Chemical Features and Toxicity Associated Pathways,Wikipathways,2,EGFR;MYLK,65 (65),0.0663,0.729,0,,9 (9),1,1,0.246,0.547
Glycolysis and Gluconeogenesis,EHMN,2,ALDH7A1;ME1,66 (67),0.0681,0.729,0,,48 (52),1,1,0.251,0.547
folate transformations,HumanCyc,1,ALDH1L1,11 (11),0.069,0.729,0,,21 (21),1,1,0.253,0.547
superoxide radicals degradation,HumanCyc,1,GPX7,11 (11),0.069,0.729,0,,10 (11),1,1,0.253,0.547
Glycogen synthesis,Reactome,1,GBE1,11 (11),0.069,0.729,0,,9 (10),1,1,0.253,0.547
Steroidogenesis,SMPDB,1,AKR1D1,11 (11),0.069,0.729,0,,40 (42),1,1,0.253,0.547
Apparent mineralocorticoid excess syndrome,SMPDB,1,AKR1D1,11 (11),0.069,0.729,0,,40 (42),1,1,0.253,0.547
3-Beta-Hydroxysteroid Dehydrogenase Deficiency,SMPDB,1,AKR1D1,11 (11),0.069,0.729,0,,40 (42),1,1,0.253,0.547
21-hydroxylase deficiency (CYP21),SMPDB,1,AKR1D1,11 (11),0.069,0.729,0,,40 (42),1,1,0.253,0.547
Corticosterone methyl oxidase I deficiency (CMO I),SMPDB,1,AKR1D1,11 (11),0.069,0.729,0,,40 (42),1,1,0.253,0.547
Corticosterone methyl oxidase II deficiency - CMO II,SMPDB,1,AKR1D1,11 (11),0.069,0.729,0,,40 (42),1,1,0.253,0.547
Adrenal Hyperplasia Type 5 or Congenital Adrenal Hyperplasia due to 17 Alpha-hydroxylase Deficiency,SMPDB,1,AKR1D1,11 (11),0.069,0.729,0,,40 (42),1,1,0.253,0.547
Adrenal Hyperplasia Type 3 or Congenital Adrenal Hyperplasia due to 21-hydroxylase Deficiency,SMPDB,1,AKR1D1,11 (11),0.069,0.729,0,,40 (42),1,1,0.253,0.547
Congenital Lipoid Adrenal Hyperplasia (CLAH) or Lipoid CAH,SMPDB,1,AKR1D1,11 (11),0.069,0.729,0,,40 (42),1,1,0.253,0.547
17-alpha-hydroxylase deficiency (CYP17),SMPDB,1,AKR1D1,11 (11),0.069,0.729,0,,40 (42),1,1,0.253,0.547
Lactose Degradation,SMPDB,1,SLC2A2,11 (11),0.069,0.729,0,,8 (9),1,1,0.253,0.547
Lactose Intolerance,SMPDB,1,SLC2A2,11 (11),0.069,0.729,0,,8 (9),1,1,0.253,0.547
11-beta-hydroxylase deficiency (CYP11B1),SMPDB,1,AKR1D1,11 (11),0.069,0.729,0,,40 (42),1,1,0.253,0.547
Golgi-to-ER retrograde transport,Reactome,0,,116 (116),1,1,1,HMDB0010404,9 (11),0.0702,1,0.257,0.55
Acetylation,Reactome,0,,2 (2),1,1,1,HMDB0001860,9 (14),0.0702,1,0.257,0.55
